,Unnamed: 0,Unnamed: 0.1,business_id_x,categories,business_id_y,date,review_id,stars,text,type,user_id,votes
747168,940837,940836,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2010-02-22,FkoE2ppyaxoQs4R6A71zIg,4.0,"Great place for a nice meal , food is generally very good quality but can be a bit slow at times but given it's location can't complain. Can get very busy with people waiting on tables to be vacated but overal great food , only flaw was no draught lager when i was there. Has good lunchtime deals on meals.",review,B9p4cnBr3YPedWA8Gh104Q,"{u'funny': 0, u'useful': 0, u'cool': 0}"
747169,940838,940837,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2010-04-07,Wv593bPL-GDg4DeLzz3RUQ,3.0,"Negative

1. Overcrowded and a bit fuzzy . We needed to change our glasses as they were smelly
2. Pizza is definitely not italian, by a long shot. More like a cheap UK version from Tesco.

Food all together was ok, but no WOW factor",review,b0LCbPq0MA1Iffpllj9n-Q,"{u'funny': 0, u'useful': 0, u'cool': 0}"
747170,940839,940838,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2010-04-28,hA_BLo0Ct494vf7ZLkbn4A,3.0,"Bella Italia is a chain Italian restaurant with various locations around Edinburgh.

This one on North Bridge seems to always be packed, I guess it attracts the tourists. The restaurant itself is nice enough while attempting to maintain authenticity. The staff are usually nice but the service can be a little slow due to how busy it is. But everything just seems a little bland and boring, as it is just another chain restaurant. It lacks the charm that those authentic little Italian restaurants have. The menu offers your standard Italian food, and if you look online you can usually find money off vouchers. Hence my reason for ever going. I usually end up getting a panini or burger, I know that isn't exactly Italian but looking at my dining partners pasta I have never been too impressed. And I like chips. 

I will say that their ""Godfather"" dessert is pretty good. I am a sucker for fatty, chocolatey, ice-creamy desserts that come in big bowls and that does just that. 

I would probably give this place a miss and head to one of the more authentic Italian restaurants because the food will be miles better.",review,Wuo1WKSgEt42fY7NxXcJYw,"{u'funny': 1, u'useful': 0, u'cool': 0}"
747171,940840,940839,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2010-05-04,UH2vxEpHqgpO5cGKUnqZvA,3.0,"I've already reviewed another branch of Bella Italia, and while I'm loath to reference a previous review in my musings on this branch, it's perhaps quite telling about Bella Italia as a whole that I really can't think of anything else they do worth commenting on.

Decent but dreary Italian food ""jus like-a mamma use-da make eh"", assuming your mamma is a 20 stone welder from Pilton, you know exactly what to expect from here.

What you won't expect though, is penne with duck, spring onions and plum sauce. I'm assured it's fantastic, but I've never been brave enough to try the most bizarre food combination I've seen since Asda did Ninja Turtles branded chocloate and marshmallow pizza.",review,5Wb9S2KRzavF19g6ATpWjA,"{u'funny': 3, u'useful': 0, u'cool': 0}"
747172,940841,940840,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2010-07-27,YNU_iQ4-mM-shrNmHT2uhA,3.0,"Bella Italia is a series of Italian restaurants which are open up and down the country.  This one is situated on the Royal Mile and so is certainly targetting the tourists.  As a result, none of it is particularly cheap and most mains cost £10 or more, especially if you go for the seafood.  
I came here with some friends a few months ago.  Although the food was good, you can definitely find better in the locality for far cheaper.  The menu has a good range of authentic Italian dishes and I went for the penne with chicken in a roasted pepper and wine sauce.  
Our food took a while to arrive, but when it did it was served in decent portions and tasted pretty good.
Bella Itali has some nice food on offer, but you'll probably go away expecting more for your money.",review,z6qJ5ZJz979Mpv7eatTIHA,"{u'funny': 0, u'useful': 0, u'cool': 0}"
747173,940842,940841,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2011-09-02,xnDvH7JC3zF8JudXqKa6HA,4.0,"Came here for lunch. The pasta dishes were done perfectly and their special ricci pasta, made specially for the restaurant, was the perfect pasta to pick up and hold all the wonderful flavors in the sauces!  Service was good. Interior was bistro looking. Nice!",review,-9ImNUbpFxdQeU-2kWDyDg,"{u'funny': 0, u'useful': 1, u'cool': 0}"
747174,940843,940842,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2011-11-08,OG-9zj0d-zYi1Urrnt8qgw,3.0,Got a great deal for a 3course meal for a reasonable amount. Quick service and tasty food.,review,o4MPZ7LQVjA0I_x2RB1tVg,"{u'funny': 0, u'useful': 1, u'cool': 0}"
747175,940844,940843,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2012-02-16,tHELYGdhvyFxwKJi2BGkIA,1.0,"Oh no, no, no.

THAT is not how Italian food is done. How would I know? Oh, I don't know, perhaps my many years of holidaying in Italy itself for months on end, perhaps my many, many Italian friends who have taught me over the years how to make a proper pasta, perhaps the fact that I have functioning taste-buds. Something which the kitchen-staff here seems to be lacking.

The service: we ordered, and the waiter was rude to the point of snatching, not taking the menus away from us. When out choices arrived and he tried to get the attention of one of our friends to alert her that her dish had arrived, he yelled, -no really he YELLED- ""OI CALZONE!"" at her. Conversation stopped dead, we all stared. The tables next to us stared. Rudest waiter experience I've ever had, in my life. And I've been to Paris multiple times so that's saying quite a lot.
For the duration of the night he was extremely embarrassed, but suffice to say that we didn't leave a tip.

The food: ugh. Ugh, ugh, ugh. When you look at the food and think: ""Should've gone to Domino's.."" you know it's bad. I had the Calimari, ... I think? It tasted like deep-fried breadcrumbs with croutons inside of them instead of calimari. Next to it was a greasy, uninspired, over-salted sauce which should've come with fish 'n chips instead of a dainty starter. 

And the thing that pisses me off the most is that I paid 5.85 for the privilege of getting my taste buds assaulted, yelled at by a waiter, and ogled by the rest of the (male) staff in a manner which was so insulting, I'll not repeat it here.

Oh, and did I mention that our jug of water contained half a chopped at lemon (you know the one you find behind at the back of your fridge, all dried up, that one) AND a piece of wax. Yes, there was a large piece of candle-wax in my glass of water.

Jum.

Steer clear, do NOT come here!",review,UTzpK0D8maxbXbnC8b3-dQ,"{u'funny': 2, u'useful': 3, u'cool': 1}"
747176,940845,940844,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2012-08-01,KH-j5DISdPRei5yPkE7IZg,2.0,"Classic Italian chain food. Not great, in fact pretty tasteless and overpriced, but it comes with super snappy service. Seriously, at 2 stars on the royal mile this might in fact be one of your best bets. But if you're feeling smart, get in a cab and head as far away from here as you can. Head to Newington Rd, Dalkeith Rd, Brougham St, and you'll find great places to eat. 

Start walking away.",review,0S-q4skhS71zKRgpXGyWyg,"{u'funny': 0, u'useful': 0, u'cool': 0}"
747177,940846,940845,ojUzLZogbt7rNnmSEm1Bdg,"[Restaurants, Pizza, Italian]",ojUzLZogbt7rNnmSEm1Bdg,2013-04-06,QdiVTBGtOv_xyIValLvH9Q,4.0,Had a delightful end of day meal here following site seeing in Central Edinburgh-glad we found it on yelp! Great salmon salad & yummy bread-calimare was worth the order too!,review,Vudb1-55hp5R8FWXqI7STA,"{u'funny': 0, u'useful': 1, u'cool': 0}"
